n,net,win,sl,tp1,avg,wr,days,tp1_days,min_score,members,tp2,tp3,lock
3,7.999999999999986,1,10,10,2.666666666666662,33.33333333333333,3,1,4,E3+E7+E14+E15,18,28,False
3,-15.0,1,10,10,-5.0,33.33333333333333,3,1,4,E3+E7+E14+E15,20,35,True
3,14.999999999999986,1,10,10,4.999999999999996,33.33333333333333,3,1,4,E3+E7+E14+E15,20,35,False
3,-16.245000000000005,1,12,10,-5.415000000000002,33.33333333333333,3,1,4,E3+E7+E14+E15,20,35,True
3,13.754999999999981,1,12,10,4.584999999999994,33.33333333333333,3,1,4,E3+E7+E14+E15,20,35,False
3,-10.0,1,8,8,-3.3333333333333335,33.33333333333333,3,1,4,E3+E7+E14+E15,16,28,True
3,11.999999999999986,1,8,8,3.999999999999995,33.33333333333333,3,1,4,E3+E7+E14+E15,16,28,False
3,-13.0,1,9,10,-4.333333333333333,33.33333333333333,3,1,4,E3+E7+E14+E15,20,30,True
3,11.999999999999986,1,9,10,3.999999999999995,33.33333333333333,3,1,4,E3+E7+E14+E15,20,30,False
17,18.649609374999997,11,10,10,1.0970358455882352,64.70588235294117,17,11,4,E3+E7+E14+E1+E8,18,28,True
17,-2.4455859375000273,5,10,10,-0.14385799632353102,29.411764705882355,17,11,4,E3+E7+E14+E1+E8,18,28,False
17,22.149609374999997,11,10,10,1.3029181985294116,64.70588235294117,17,11,4,E3+E7+E14+E1+E8,20,35,True
17,18.554414062499973,5,10,10,1.0914361213235277,29.411764705882355,17,11,4,E3+E7+E14+E1+E8,20,35,False
17,14.603828125000007,11,12,10,0.8590487132352945,64.70588235294117,17,11,4,E3+E7+E14+E1+E8,20,35,True
17,5.008632812499982,5,12,10,0.29462545955882247,29.411764705882355,17,11,4,E3+E7+E14+E1+E8,20,35,False
17,51.575097656249994,14,8,8,3.0338292738970587,82.35294117647058,17,14,4,E3+E7+E14+E1+E8,16,28,True
17,1.6248046874999744,4,8,8,0.0955767463235279,23.52941176470588,17,14,4,E3+E7+E14+E1+E8,16,28,False
17,21.0,11,9,10,1.2352941176470589,64.70588235294117,17,11,4,E3+E7+E14+E1+E8,20,30,True
17,7.904804687499976,5,9,10,0.4649885110294103,29.411764705882355,17,11,4,E3+E7+E14+E1+E8,20,30,False
6,-15.0,3,10,10,-2.5,50.0,6,3,4,E3+E7+E14+E15+E21,18,28,True
6,-47.590195312500015,0,10,10,-7.931699218750002,0.0,6,3,4,E3+E7+E14+E15+E21,18,28,False
6,-15.0,3,10,10,-2.5,50.0,6,3,4,E3+E7+E14+E15+E21,20,35,True
6,-47.590195312500015,0,10,10,-7.931699218750002,0.0,6,3,4,E3+E7+E14+E15+E21,20,35,False
6,-18.245000000000005,3,12,10,-3.040833333333334,50.0,6,3,4,E3+E7+E14+E15+E21,20,35,True
6,-49.07941406250002,0,12,10,-8.179902343750003,0.0,6,3,4,E3+E7+E14+E15+E21,20,35,False
