entry_ts,exit_ts,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3,day,side,strike,moneyness,expiry,contract,mode
2025-05-27 10:00:00,2025-05-28 09:00:00,26.401380772230368,8.401380772230368,-18.0,SL,False,False,False,2025-05-27,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-07 13:00:00,2025-05-07 14:00:00,368.3989717243112,403.3989717243112,35.0,TP3,True,True,True,2025-05-07,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,259.5597269091195,241.5597269091195,-18.0,SL,False,False,False,2025-05-12,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-13 10:00:00,2025-05-13 11:00:00,191.52412679496229,173.52412679496229,-18.0,SL,False,False,False,2025-05-13,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-14 09:00:00,2025-05-14 10:00:00,220.46328334336613,202.46328334336613,-18.0,SL,False,False,False,2025-05-14,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-14 15:00:00,2025-05-15 09:00:00,191.01601357046275,173.01601357046275,-18.0,SL,False,False,False,2025-05-14,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-20 10:00:00,2025-05-20 11:00:00,67.68103392824833,49.681033928248326,-18.0,SL,False,False,False,2025-05-20,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-21 11:00:00,2025-05-21 13:00:00,88.85181472928252,93.85181472928252,5.0,BE/trail,True,True,False,2025-05-21,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-23 12:00:00,2025-05-23 13:00:00,60.97453523646436,95.97453523646436,35.0,TP3,True,True,True,2025-05-23,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-26 11:00:00,2025-05-26 13:00:00,34.40104885139317,34.40104885139317,0.0,BE/trail,True,False,False,2025-05-26,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-05-27 14:00:00,2025-05-28 09:00:00,30.543732688510318,30.543732688510318,0.0,BE/trail,True,False,False,2025-05-27,PE,24450,ITM,2025-05-29,2025-05-29_PE_24450,runners
2025-06-09 11:00:00,2025-06-09 12:00:00,664.2832950434022,646.2832950434022,-18.0,SL,False,False,False,2025-06-09,CE,24650,ITM,2025-06-26,2025-06-26_CE_24650,runners
2025-06-10 10:00:00,2025-06-10 11:00:00,656.198810044687,638.198810044687,-18.0,SL,False,False,False,2025-06-10,CE,24650,ITM,2025-06-26,2025-06-26_CE_24650,runners
2025-06-24 09:00:00,2025-06-24 10:00:00,556.9140505589858,538.9140505589858,-18.0,SL,False,False,False,2025-06-24,CE,24650,ITM,2025-06-26,2025-06-26_CE_24650,runners
2025-06-25 10:00:00,2025-06-25 11:00:00,549.3647459515269,531.3647459515269,-18.0,SL,False,False,False,2025-06-25,CE,24650,ITM,2025-06-26,2025-06-26_CE_24650,runners
2025-06-26 09:00:00,2025-06-26 10:00:00,623.6769439771851,658.6769439771851,35.0,TP3,True,True,True,2025-06-26,CE,24650,ITM,2025-06-26,2025-06-26_CE_24650,runners
