label,trades,session_days,active_days,avg_per_session_day,avg_per_active_day,pct_session_days_ge2,pct_session_days_ge1,median_active,net,t1_pct,cfg,side,strike,off
Scanner·Any·noADX·max3  ★ target≥2/day|PE|24400,115,59,49,1.949,2.347,64.4,83.1,3.0,38.2,65.2,Scanner·Any·noADX·max3  ★ target≥2/day,PE,24400,100
Scanner·Any·noADX·max4|CE|24200,139,59,53,2.356,2.623,72.9,89.8,3.0,171.8,69.1,Scanner·Any·noADX·max4,CE,24200,-100
Scanner·Any·noADX·max4|CE|24250,135,59,53,2.288,2.547,72.9,89.8,2.0,145.7,68.1,Scanner·Any·noADX·max4,CE,24250,-50
Scanner·Any·noADX·max4|CE|24300,136,59,54,2.305,2.519,72.9,91.5,2.5,167.3,68.4,Scanner·Any·noADX·max4,CE,24300,0
Scanner·Any·noADX·max4|CE|24350,122,59,53,2.068,2.302,64.4,89.8,2.0,145.3,69.7,Scanner·Any·noADX·max4,CE,24350,50
Scanner·Any·noADX·max4|CE|24400,101,59,49,1.712,2.061,50.8,83.1,2.0,233.3,71.3,Scanner·Any·noADX·max4,CE,24400,100
Scanner·Any·noADX·max4|PE|24200,99,59,48,1.678,2.062,50.8,81.4,2.0,58.2,66.7,Scanner·Any·noADX·max4,PE,24200,-100
Scanner·Any·noADX·max4|PE|24250,115,59,49,1.949,2.347,62.7,83.1,2.0,95.4,66.1,Scanner·Any·noADX·max4,PE,24250,-50
Scanner·Any·noADX·max4|PE|24300,128,59,50,2.169,2.56,66.1,84.7,2.5,169.7,68.8,Scanner·Any·noADX·max4,PE,24300,0
Scanner·Any·noADX·max4|PE|24350,128,59,50,2.169,2.56,64.4,84.7,3.0,81.5,66.4,Scanner·Any·noADX·max4,PE,24350,50
Scanner·Any·noADX·max4|PE|24400,129,59,49,2.186,2.633,64.4,83.1,3.0,20.0,64.3,Scanner·Any·noADX·max4,PE,24400,100
Scanner·Any·noMute·max4|CE|24200,153,59,54,2.593,2.833,76.3,91.5,3.0,119.1,67.3,Scanner·Any·noMute·max4,CE,24200,-100
Scanner·Any·noMute·max4|CE|24250,146,59,54,2.475,2.704,76.3,91.5,3.0,127.3,67.1,Scanner·Any·noMute·max4,CE,24250,-50
Scanner·Any·noMute·max4|CE|24300,145,59,54,2.458,2.685,74.6,91.5,3.0,143.5,67.6,Scanner·Any·noMute·max4,CE,24300,0
Scanner·Any·noMute·max4|CE|24350,134,59,54,2.271,2.481,69.5,91.5,2.0,155.6,69.4,Scanner·Any·noMute·max4,CE,24350,50
Scanner·Any·noMute·max4|CE|24400,110,59,49,1.864,2.245,55.9,83.1,2.0,261.6,72.7,Scanner·Any·noMute·max4,CE,24400,100
Scanner·Any·noMute·max4|PE|24200,112,59,49,1.898,2.286,54.2,83.1,2.0,138.3,68.8,Scanner·Any·noMute·max4,PE,24200,-100
Scanner·Any·noMute·max4|PE|24250,133,59,50,2.254,2.66,66.1,84.7,3.0,177.6,69.2,Scanner·Any·noMute·max4,PE,24250,-50
Scanner·Any·noMute·max4|PE|24300,147,59,52,2.492,2.827,71.2,88.1,3.0,179.8,68.7,Scanner·Any·noMute·max4,PE,24300,0
Scanner·Any·noMute·max4|PE|24350,147,59,52,2.492,2.827,69.5,88.1,3.0,114.5,67.3,Scanner·Any·noMute·max4,PE,24350,50
Scanner·Any·noMute·max4|PE|24400,147,59,51,2.492,2.882,71.2,86.4,3.0,10.6,66.0,Scanner·Any·noMute·max4,PE,24400,100
